DATE,ATLA013BPPRIV
1988-01-01,2216
1988-02-01,3939
1988-03-01,5078
1988-04-01,4013
1988-05-01,4048
1988-06-01,4363
1988-07-01,3306
1988-08-01,4090
1988-09-01,2777
1988-10-01,3824
1988-11-01,3250
1988-12-01,3712
1989-01-01,2939
1989-02-01,2859
1989-03-01,3259
1989-04-01,2598
1989-05-01,2921
1989-06-01,2973
1989-07-01,2397
1989-08-01,3568
1989-09-01,2753
1989-10-01,2384
1989-11-01,2562
1989-12-01,2535
1990-01-01,4125
1990-02-01,1830
1990-03-01,2858
1990-04-01,2037
1990-05-01,1943
1990-06-01,1832
1990-07-01,1857
1990-08-01,3094
1990-09-01,1672
1990-10-01,1741
1990-11-01,1406
1990-12-01,1541
1991-01-01,1295
1991-02-01,2178
1991-03-01,1925
1991-04-01,2030
1991-05-01,1923
1991-06-01,1724
1991-07-01,2235
1991-08-01,1954
1991-09-01,2291
1991-10-01,2209
1991-11-01,2024
1991-12-01,1625
1992-01-01,2050
1992-02-01,2274
1992-03-01,2774
1992-04-01,2487
1992-05-01,2305
1992-06-01,2622
1992-07-01,2632
1992-08-01,2200
1992-09-01,2424
1992-10-01,2466
1992-11-01,1795
1992-12-01,2094
1993-01-01,2604
1993-02-01,2443
1993-03-01,2981
1993-04-01,2791
1993-05-01,2553
1993-06-01,2763
1993-07-01,3050
1993-08-01,3437
1993-09-01,3758
1993-10-01,3122
1993-11-01,2747
1993-12-01,3223
1994-01-01,2199
1994-02-01,2818
1994-03-01,3867
1994-04-01,3567
1994-05-01,4187
1994-06-01,3505
1994-07-01,2836
1994-08-01,4224
1994-09-01,3826
1994-10-01,3520
1994-11-01,3553
1994-12-01,3140
1995-01-01,3523
1995-02-01,2751
1995-03-01,4448
1995-04-01,3740
1995-05-01,4157
1995-06-01,5386
1995-07-01,4553
1995-08-01,5279
1995-09-01,4229
1995-10-01,3528
1995-11-01,2808
1995-12-01,3966
1996-01-01,3172
1996-02-01,4192
1996-03-01,3952
1996-04-01,4351
1996-05-01,5118
1996-06-01,3704
1996-07-01,4059
1996-08-01,5251
1996-09-01,4091
1996-10-01,3236
1996-11-01,2740
1996-12-01,4037
1997-01-01,3306
1997-02-01,2914
1997-03-01,4141
1997-04-01,5210
1997-05-01,4267
1997-06-01,4141
1997-07-01,4749
1997-08-01,4852
1997-09-01,3878
1997-10-01,4777
1997-11-01,3589
1997-12-01,3516
1998-01-01,3902
1998-02-01,4152
1998-03-01,5161
1998-04-01,4911
1998-05-01,4891
1998-06-01,4240
1998-07-01,4818
1998-08-01,5938
1998-09-01,4845
1998-10-01,5135
1998-11-01,4520
1998-12-01,5450
1999-01-01,4199
1999-02-01,4723
1999-03-01,5139
1999-04-01,5434
1999-05-01,4158
1999-06-01,5986
1999-07-01,5034
1999-08-01,5285
1999-09-01,4252
1999-10-01,4803
1999-11-01,5694
1999-12-01,4780
2000-01-01,5019
2000-02-01,4927
2000-03-01,6009
2000-04-01,6599
2000-05-01,6137
2000-06-01,5490
2000-07-01,5453
2000-08-01,5574
2000-09-01,4763
2000-10-01,4024
2000-11-01,4705
2000-12-01,4745
2001-01-01,5534
2001-02-01,5916
2001-03-01,5384
2001-04-01,5862
2001-05-01,6234
2001-06-01,6512
2001-07-01,5520
2001-08-01,5709
2001-09-01,4603
2001-10-01,4630
2001-11-01,4321
2001-12-01,4546
2002-01-01,4866
2002-02-01,4888
2002-03-01,5606
2002-04-01,6550
2002-05-01,6864
2002-06-01,5890
2002-07-01,5895
2002-08-01,4639
2002-09-01,5089
2002-10-01,5503
2002-11-01,4130
2002-12-01,4690
2003-01-01,4636
2003-02-01,4260
2003-03-01,5477
2003-04-01,5741
2003-05-01,4831
2003-06-01,5056
2003-07-01,6027
2003-08-01,6305
2003-09-01,6184
2003-10-01,5753
2003-11-01,4346
2003-12-01,5653
2004-01-01,5794
2004-02-01,4925
2004-03-01,6843
2004-04-01,5625
2004-05-01,7250
2004-06-01,5298
2004-07-01,7555
2004-08-01,6423
2004-09-01,5314
2004-10-01,5828
2004-11-01,7229
2004-12-01,6047
2005-01-01,5059
2005-02-01,5382
2005-03-01,6277
2005-04-01,5549
2005-05-01,7387
2005-06-01,5883
2005-07-01,5428
2005-08-01,7579
2005-09-01,6538
2005-10-01,5742
2005-11-01,5055
2005-12-01,5221
2006-01-01,6315
2006-02-01,5280
2006-03-01,7278
2006-04-01,6070
2006-05-01,7734
2006-06-01,6188
2006-07-01,5422
2006-08-01,7141
2006-09-01,4005
2006-10-01,5577
2006-11-01,4046
2006-12-01,3608
2007-01-01,4574
2007-02-01,3964
2007-03-01,5021
2007-04-01,4976
2007-05-01,5104
2007-06-01,3993
2007-07-01,3297
2007-08-01,3577
2007-09-01,2847
2007-10-01,2504
2007-11-01,2177
2007-12-01,1780
2008-01-01,2232
2008-02-01,1808
2008-03-01,1824
2008-04-01,1913
2008-05-01,1757
2008-06-01,1994
2008-07-01,1509
2008-08-01,1707
2008-09-01,1797
2008-10-01,1356
2008-11-01,388
2008-12-01,512
2009-01-01,359
2009-02-01,430
2009-03-01,590
2009-04-01,483
2009-05-01,755
2009-06-01,590
2009-07-01,527
2009-08-01,614
2009-09-01,534
2009-10-01,580
2009-11-01,538
2009-12-01,577
2010-01-01,668
2010-02-01,730
2010-03-01,780
2010-04-01,924
2010-05-01,509
2010-06-01,691
2010-07-01,515
2010-08-01,675
2010-09-01,537
2010-10-01,407
2010-11-01,439
2010-12-01,589
2011-01-01,612
2011-02-01,613
2011-03-01,715
2011-04-01,637
2011-05-01,670
2011-06-01,883
2011-07-01,565
2011-08-01,1273
2011-09-01,511
2011-10-01,733
2011-11-01,825
2011-12-01,512
2012-01-01,1066
2012-02-01,1488
2012-03-01,1049
2012-04-01,1036
2012-05-01,990
2012-06-01,1417
2012-07-01,1247
2012-08-01,1120
2012-09-01,1171
2012-10-01,1575
2012-11-01,761
2012-12-01,1474
2013-01-01,958
2013-02-01,2620
2013-03-01,1621
2013-04-01,2071
2013-05-01,2562
2013-06-01,2804
2013-07-01,1955
2013-08-01,1649
2013-09-01,2075
2013-10-01,2126
2013-11-01,1862
2013-12-01,1443
2014-01-01,1040
2014-02-01,2112
2014-03-01,2923
2014-04-01,1913
2014-05-01,2535
2014-06-01,2294
2014-07-01,2647
2014-08-01,1999
2014-09-01,1683
2014-10-01,2502
2014-11-01,1610
2014-12-01,2560
2015-01-01,1578
2015-02-01,2228
2015-03-01,2657
2015-04-01,2581
2015-05-01,2993
2015-06-01,3059
2015-07-01,3033
2015-08-01,1939
2015-09-01,1690
2015-10-01,2990
2015-11-01,2504
2015-12-01,2132
2016-01-01,2609
2016-02-01,3772
2016-03-01,3163
2016-04-01,3021
2016-05-01,2777
2016-06-01,4241
2016-07-01,2617
2016-08-01,2650
2016-09-01,2439
2016-10-01,3204
2016-11-01,2441
2016-12-01,2508
2017-01-01,3141
2017-02-01,2721
2017-03-01,3252
2017-04-01,2247
2017-05-01,2536
2017-06-01,3295
2017-07-01,3150
2017-08-01,2677
2017-09-01,2677
2017-10-01,2859
2017-11-01,1984
2017-12-01,1755
2018-01-01,3445
2018-02-01,2616
2018-03-01,3898
2018-04-01,2839.0
2018-05-01,4120.0
2018-06-01,2515.0
2018-07-01,3124.0
2018-08-01,2892.0
2018-09-01,2655.0
2018-10-01,4142.0
2018-11-01,3473.0
2018-12-01,2083.0
2019-01-01,2193.0
2019-02-01,3098.0
2019-03-01,2802.0
2019-04-01,3175.0
2019-05-01,2746.0
2019-06-01,2574.0
2019-07-01,2419.0
2019-08-01,2688.0
2019-09-01,2716.0
2019-10-01,3728.0
2019-11-01,1819.0
2019-12-01,2388.0
2020-01-01,2912.0
